,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
380,3129,1,1,4.1,1538,28,20,165,1000.0,1380
381,2003,1,1,3.8,756,28,20,1156,1000.0,5047
382,1741,1,1,4.0,347,28,20,1295,1000.0,5047
383,2499,0,1,4.0,165,28,20,1592,1000.0,5047
384,2835,0,0,3.3,177,28,20,1222,950.0,5047
385,2335,1,0,3.0,102,0,20,1589,600.0,2804
386,496,0,1,4.0,200,3,13,383,700.0,5047
387,460,1,0,3.9,102,3,13,352,450.0,4863
388,378,1,0,3.7,171,3,13,332,300.0,1176
389,1,1,0,3.7,37,3,13,359,400.0,2933
390,3048,1,0,3.9,40,3,41,442,400.0,621
391,3004,0,0,3.9,125,3,13,446,500.0,5047
392,876,1,0,3.9,49,3,13,332,600.0,1778
393,475,0,0,3.8,69,3,14,350,700.0,5047
394,1406,0,0,3.9,78,3,13,332,350.0,5047
395,429,1,0,2.7,48,3,65,549,650.0,3406
396,2453,1,0,4.1,46,28,13,502,600.0,4573
397,837,0,0,4.0,129,28,13,383,600.0,5047
398,1807,1,1,3.9,727,28,13,416,800.0,397
399,2609,0,0,4.1,521,28,13,404,550.0,5047
400,342,1,0,4.1,203,28,65,366,650.0,314
401,1985,1,1,4.4,4381,28,22,1468,600.0,2241
402,517,1,0,3.7,131,28,13,504,400.0,2740
403,3034,1,0,3.7,46,28,13,318,450.0,4884
404,750,0,0,3.4,48,28,13,436,550.0,5047
405,2450,1,0,3.7,127,28,13,467,700.0,512
406,3097,1,0,2.7,85,28,13,496,500.0,3094
407,3153,1,0,4.5,1178,0,29,930,500.0,5047
408,2301,1,0,3.7,335,0,20,65,800.0,5047
409,562,1,0,3.8,254,0,20,282,800.0,2463
410,892,1,0,4.1,63,28,72,869,300.0,2211
411,1189,1,0,4.0,244,0,62,202,400.0,5047
412,2529,1,0,2.9,255,0,62,1156,250.0,5047
413,3104,1,0,4.5,549,0,30,773,400.0,5047
414,2594,1,0,4.1,775,0,62,1597,300.0,5047
415,90,1,0,3.6,208,28,72,285,300.0,4865
416,145,1,0,4.1,739,28,29,565,500.0,4664
417,2136,1,0,3.8,310,3,62,1156,400.0,1115
418,2591,1,0,4.0,126,0,62,1156,150.0,1919
419,221,1,0,4.1,427,3,72,1392,500.0,1891
420,2253,1,0,4.0,197,0,62,1156,300.0,5047
421,1751,1,0,4.1,601,0,62,1477,700.0,4809
422,1484,1,0,3.9,488,28,72,273,400.0,1143
423,1506,1,0,4.0,396,3,62,1589,400.0,5047
424,158,1,0,3.6,474,0,62,1235,450.0,5047
425,2033,1,0,2.9,172,0,62,1196,300.0,3205
426,1879,1,0,3.1,175,3,62,42,250.0,5047
427,1779,1,0,4.0,939,0,20,558,600.0,5047
428,1405,1,0,3.9,173,0,62,1461,250.0,4900
429,1417,1,0,3.9,77,3,62,1156,400.0,356
430,1515,1,0,3.9,326,0,13,1195,200.0,5047
431,858,1,0,3.3,212,28,62,236,350.0,1286
432,1584,1,0,4.1,464,0,62,1179,300.0,5047
433,1030,1,0,3.3,628,3,29,923,450.0,4150
434,2387,1,0,3.6,518,28,20,1589,400.0,2853
435,547,1,0,3.9,70,3,30,767,350.0,597
436,981,1,0,3.9,62,28,62,324,300.0,1093
437,721,1,0,4.4,819,30,30,956,400.0,5047
438,953,1,1,4.2,1964,3,20,87,1000.0,460
439,291,1,0,4.0,138,3,29,235,650.0,1985
440,64,1,0,3.3,455,3,20,50,550.0,2414
441,1188,1,0,3.8,181,3,41,1181,600.0,3670
442,394,1,0,3.6,43,28,62,311,300.0,824
443,2083,1,0,2.7,159,28,62,1465,750.0,4226
444,2569,1,0,3.2,166,3,62,1507,600.0,5047
445,360,1,0,3.7,128,3,72,282,400.0,2775
446,1641,1,0,2.9,126,0,62,565,300.0,553
447,1383,1,0,4.0,952,30,62,1355,400.0,1983
448,453,1,0,3.8,472,3,62,323,600.0,1824
449,759,1,1,4.0,739,3,20,296,800.0,2988
450,92,1,0,3.9,255,0,20,50,500.0,1108
451,2029,1,0,4.0,1974,28,20,294,800.0,4695
452,141,1,1,4.2,1428,28,20,64,800.0,1381
453,73,1,0,4.0,332,28,62,1589,300.0,5047
454,619,1,1,4.0,199,28,62,1476,700.0,2228
455,1372,1,0,3.9,437,28,62,322,400.0,672
456,774,1,0,3.8,207,3,20,237,700.0,945
457,1985,1,1,4.4,4381,28,22,1468,600.0,5047
458,2988,1,0,3.8,55,3,62,1589,300.0,5047
459,2418,1,0,4.0,597,3,62,1156,400.0,1566
460,2335,1,0,3.0,102,0,20,1589,600.0,5047
461,163,1,0,3.9,189,0,62,256,300.0,1189
462,517,1,0,3.7,131,28,13,504,400.0,5047
463,1675,1,0,4.2,373,28,20,266,750.0,5047
464,121,1,0,3.9,435,0,20,197,650.0,3015
465,348,1,0,4.1,292,0,20,250,700.0,5047
466,1362,1,0,3.6,137,3,62,84,300.0,5047
467,1265,1,0,3.2,133,3,20,1209,500.0,5047
468,973,1,0,3.9,37,28,72,1518,250.0,3881
469,2111,1,0,3.7,170,28,62,862,200.0,5047
470,1256,1,0,3.6,794,3,20,286,550.0,4203
471,1056,1,0,4.6,404,3,20,0,1000.0,5047
472,2183,1,1,3.9,561,3,20,1156,900.0,5047
473,2005,1,1,3.9,486,0,13,710,700.0,5047
474,639,1,0,3.9,320,3,20,1196,650.0,2512
475,2238,1,0,4.1,237,28,30,791,500.0,2644
476,2354,1,1,3.9,1227,3,20,116,900.0,1175
477,968,1,0,4.0,95,3,29,1113,600.0,4932
478,3129,1,1,4.1,1538,28,20,165,1000.0,2491
479,1520,1,0,3.7,110,3,20,43,800.0,3526
480,2873,1,0,4.1,381,0,62,84,250.0,4064
481,939,1,0,3.9,251,3,29,1190,500.0,1030
482,2132,1,0,3.0,353,28,62,1285,400.0,5047
483,1722,1,0,4.0,205,28,29,1181,450.0,2037
484,2048,1,0,3.9,183,0,62,868,250.0,4679
485,712,1,0,3.9,99,3,30,956,400.0,5047
